     6>LINK : fatal error LNK1104: cannot open file 'dTnsConfigFile.lib' [D:\a\TohoSpec\TohoSpec\SRC\Hook\HOOK.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(382,38): error C3867: 'CPifMessage502::SetItemFRACTION8': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(560,43): error C3867: 'CPifMessage502::SetItemSTRLxS1_Valid': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(561,43): error C3867: 'CPifMessage502::SetItemSTRLxS2_Valid': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(562,43): error C3867: 'CPifMessage502::SetItemSTRLxS3_Valid': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(563,43): error C3867: 'CPifMessage502::SetItemSTRLxS4_Valid': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(564,43): error C3867: 'CPifMessage502::SetItemSTRLxS5_Valid': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(565,43): error C3867: 'CPifMessage502::SetItemSTRLxS6_Valid': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(566,43): error C3867: 'CPifMessage502::SetItemSTRLxS7_Valid': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(567,43): error C3867: 'CPifMessage502::SetItemSTRLxS8_Valid': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(568,43): error C3867: 'CPifMessage502::SetItemSTRLxS9_Valid': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(569,43): error C3867: 'CPifMessage502::SetItemSTRLxS10_Valid': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(570,43): error C3867: 'CPifMessage502::SetItemSTRLxS11_Valid': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
    37>D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.cpp(571,43): error C3867: 'CPifMessage502::SetItemSTRLxS12_Valid': non-standard syntax; use '&' to create a pointer to member [D:\a\TohoSpec\TohoSpec\SRC\PifComm\PifComm.vcxproj]
